frame_start	frame_end	Midbrain	Pons	Medulla	SCP
0	30	164.54067	213.78861	210.12474	124.79274
30	60	6920.1876	5949.11393	4905.59304	5253.21936
60	90	20993.81014	20429.05598	15563.45065	16861.65127
90	120	30380.0331	28546.85882	23512.20212	22921.68054
120	150	32256.79866	31727.53006	23719.43203	24814.99974
150	180	32738.54411	31935.68036	24831.52686	28471.55315
180	240	31246.61599	30347.94897	23966.23747	26047.86943
240	300	31979.69485	29831.57291	24246.44361	27144.65636
300	360	31308.3597	28472.11116	22949.53644	22754.95306
360	480	30025.14935	27894.67986	23296.05409	22411.51
480	600	29361.16891	27237.20487	22854.95055	22161.42796
600	900	28008.35644	25501.9837	22518.39095	21608.02537
900	1200	26018.83999	23836.03625	21306.78956	19544.53448
1200	1500	24257.75542	22301.47612	20479.13585	17107.25157
1500	1800	22479.39714	21121.10257	19203.33522	17631.23555
1800	2100	20982.1522	19692.89032	17751.53702	15271.02013
2100	2400	19493.95478	18604.30133	17116.87963	13974.31614
2400	2700	18430.28678	17784.28544	16442.40812	13401.17328
2700	3000	17829.80041	17196.79136	15445.26098	12485.78295
3000	3300	16941.31476	16512.53039	15445.6286	11952.95715
3300	3600	15049.49278	15240.86209	14132.11409	10834.24491
3600	3900	14724.07138	14199.27916	13423.78603	9055.65052
3900	4200	14198.72814	14109.92152	13022.14065	10126.43691
4200	4500	13957.44794	12880.65137	11340.3817	10734.57125
4500	4800	13072.73518	12172.68798	10686.86132	8596.40017
4800	5100	10780.38123	11132.33416	9925.80547	6838.82735
5100	5400	10452.84338	10980.9685	10309.93408	7101.74832
5400	5700	10773.52734	11051.42533	10949.6854	7282.90768
5700	6000	10086.06494	10645.09497	8740.0341	7558.9047
6000	6300	9568.2744	10410.04447	9397.22221	7345.72115
6300	6600	9000.40922	9193.80786	8185.52528	6464.81571
6600	6900	8205.64093	8792.60245	7916.51723	6286.64928
6900	7200	9286.72599	9263.34529	7522.88779	5566.0263
